lemma_võro,lemma_estonian,lemma_finnish,lemma_english,lemma_saami,lemma_norwegian,lemma_swedish,lemma_german,pos,semtype
,,taitella,fold,máhccut,brette,rynka,falten,V,HUM_V
,,taivaansuunta,taivaansuunta_ENG,almmiguovlu,himmelretning,himmelsriktning,himmelretning_DEU,N,NATURE
,,taivas,taivas_ENG,albmi,himmel,himmel,himmel_DEU,N,NATURE_PLACE
,,taivuttaa,inflect,sojahit,bøye,böja,beugen,V,ACTION_V
,,takana,takana_ENG,duohken,bak,bakom,bak_DEU,Adv,PLACE_ADV
,,takki,jacket,readdju,jakke,jacka,jakke_DEU,N,CLOTHING
,,talitiainen,talitiainen_ENG,gaccet,meis,meis_SWE,meis_DEU,N,BIRD
,,talitintti,talitintti_ENG,buoidegaccet,kjøttmeis,talgoxe,kjøttmeis_DEU,N,BIRD
,,talja,talja_ENG,duollji,reinskinn,renskinn,reinskinn_DEU,N,NATURE
,,tallella,tallella_ENG,áimmuin,i forvaring,i förvar,i forvaring_DEU,Adv,DIV_ADV
,,talli,stable,stállja,stall,stall,stall_DEU,N,BUILDING
,,talonavain,house key,viessočoavdda,husnøkkel,husnyckel,husnøkkel_DEU,N,THING
,,talonmies,talonmies_ENG,viessobearráigeahčči,vaktmester,vaktmästare,vaktmester_DEU,N,PROFESSION
,,talonmies,talonmies_ENG,viessohoiddár,vaktmester,vaktmästare,vaktmester_DEU,N,PROFESSION
,,talvella,talvella_ENG,dálvet,på vinteren,på vinteren,på vinteren_DEU,Adv,CHRISTMAS
,,talvella,talvella_ENG,dán dálvvi,i vinter,talvella_SWE,i vinter_DEU,Mwe,EXPRESSIONS
,,talvisota,winter war,dálvesoahti,vinterkrigen,vinterkrigen_SWE,vinterkrigen_DEU,N,YYY
,,talvivaatteet,talvivaatteet_ENG,dálvebivttas,vinterplagg,vinterkläder,vinterplagg_DEU,N,CLOTHING
,,tammukka,tammukka_ENG,dápmot,ørret,öring,ørret_DEU,N,FISH
,,tankata,tankata_ENG,dáŋket,tanke,tanke_SWE,tanke_DEU,V,ACTION_V
,,tanssahtaa,tanssahtaa_ENG,dánsestit,danse litt,danse litt_SWE,danse litt_DEU,V,BODY_V
,,tapa,tapa_ENG,vierru,skikk,skikk_SWE,skikk_DEU,N,ABSTRACT
,,tapa,tapa_ENG,vuohki,måte,sätt,måte_DEU,N,ABSTRACT
,,tapaamispaikka,meeting point,deaivvadansadji,møtested,möteplats,møtested_DEU,N,PLACE_OTHER
,,tapahtuma,happening,dáhpáhus,hendelse,händelse,hendelse_DEU,N,ABSTRACT
,,tapella,fight,doarrut,slåss,slåss,sich schlagen,V,mUSETIME
,,tappaa,catch,goddit,fange,fånga,töten,V,ACTION_V
,,taputtaa,taputtaa_ENG,doaškut,slå med flat hånd,slå med flat hånd_SWE,slå med flat hånd_DEU,V,ACTION_V
,,tareta,keep warm,bivvat,holde varmen,hålla värmen,sich warm halten,V,BODY_V
,,tarjoilija,waiter,beavdebiigá,servitrise,servitrise_SWE,servitrise_DEU,N,PROFESSION
,,tarkasti,tarkasti_ENG,dárkilit,nøyaktig,nøyaktig_SWE,nøyaktig_DEU,Adv,DIV_ADV
,,tarkka,accurate,dárkil,nøyaktig,noggrann,nøyaktig_DEU,A,ISSUE_A
,,tarpeeksi,tarpeeksi_ENG,doarvái,nok,nok_SWE,nok_DEU,Adv,DIV_ADV
,,tarttua kiinni,tarttua kiinni_ENG,dollet,gripe,gripe_SWE,gripe_DEU,V,ACTION_V
,,tarttua,grip,doahput,gripe,gripa,greifen,V,exclude_smenob
,,tartuttaa,tartuttaa_ENG,njoammut,smitte,infektera,smitte_DEU,V,BODY_V
,,tarvita,need,dárbbahit,trenge,behöva,brauchen,V,EXPERIENCE_V
,,tasku,pocket,lumma,lomme,ficka,lomme_DEU,N,CLOTHING_OTHER
,,taso,level,dássi,nivå,nivå,nivå_DEU,N,ABSTRACT
,,tavallinen,usual,dábálaš,vanlig,vanlig,vanlig_DEU,A,CHRISTMAS
,,tavallisesti,tavallisesti_ENG,dábálaččat,vanligvis,vanligen,vanligvis_DEU,Adv,CHRISTMAS
,,tavara,luggage,gálvu,bagasje,bagasch,bagasje_DEU,N,TRAVEL
,,tavara,ware,dávvir,gjenstand,ting,gjenstand_DEU,N,YYY
,,tavata,meet,deaivvadit,treffes,träffas,sich treffen,V,HUM_V
,,tee,tea,deajat,ukokt te,te,ukokt te_DEU,N,exclude_smenob
,,teekuppi,teacup,teadjakohppa,tekopp,tekopp,tekopp_DEU,N,CONTAINER
,,teelusikka,teaspoon,teadjabaste,teskje,tesked,teskje_DEU,N,KITCHEN
,,teenlehdet,tea leaves,teajat,ukokt te,teblader,Teeblätter,N,exclude_smenob
,,teettää,make someone work,barggahit,få noen til å arbeide,låta arbeta,anstellen,V,exclude_smenob
,,tehdasmatto,tehdasmatto_ENG,fabrihkkarátnu,fabrikkteppe,fabriksmatta,fabrikkteppe_DEU,N,FURNITURE
,,tehdastyöläinen,factory worker,fabrihkkabargi,fabrikkarbeider,fabrikarbetare,Fabrikarbeiter,N,CITY
,,tehdä itkua,tehdä itkua_ENG,čierostuddat,være på gråten,være på gråten_SWE,være på gråten_DEU,V,HUM_V
,,tehdä makkaraa,make sausages,márfut,lage pølser,laga korv,Wurst machen,V,FOOD_DRINK_V
,,tehdä ruokaa,cook,málestit,lage mat,laga mat,Essen zubereiten,V,FOOD_DRINK_V
,,tehdä yhteistyötä,cooperate,ovttasbargat,samarbeide,samarbeta,samarbeide_DEU,V,mCOMV
,,teknikko,technician,teknihkkár,tekniker,tekniker,tekniker_DEU,N,PROFESSION
,,termimaito,termimaito_ENG,gássi,råmelk,råmjölk,råmelk_DEU,N,FOOD_OTHER
,,terveenä,terveenä_ENG,dearvan,sunt,sunt_SWE,sunt_DEU,Adv,DIV_ADV
,,tervehtiä toisiaan,tervehtiä toisiaan_ENG,dearvvahallat,handhilse,handhilse_SWE,handhilse_DEU,V,HUM_V
,,tervehtiä,get well,dearvvašnuvvat,bli frisk,friskna,gesunden,V,BODY_V
,,tervehtiä,greet,dearvvahit,hilse,hälsa,grüßen,V,VERBAL_V
,,tervetuloa,tervetuloa_ENG,bures boahtin,velkommen,velkommen_SWE,velkommen_DEU,Mwe,EXPRESSIONS
,,terveydenhuollontyöntekijä,health worker,dearvvašvuođabargi,helsearbeider,hälsoarbetare,Arbeiter im Gesundheitswesen,N,CITY
,,terveyskeskus,health care center,dearvvašvuođaguovddáš,helsesenter,hälsocenter,helsesenter_DEU,N,CITY
,,terävä,sharp,čogas,spiss,spetsig,spiss_DEU,A,OBJECT_A
,,teurastaa,slaughter,njuovadit,slakte,slakta,schlachten,V,ANIMAL_V
,,teurastaa,slaughter,njuovvat,slakte,slakta,schlachten,V,ANIMAL_V
,,teurastaja,butcher,njuovvi,slakter,slaktare,slakter_DEU,N,PROFESSION
,,teurastamo,butchery,njuovahat,slakteri,slakteri,slakteri_DEU,N,BUILDING
,,teurastamo,butchery,njuovvanrusttet,slakteri,slakteri,slakteri_DEU,N,BUILDING
,,tiedustella,investigate,diđoštit,innhente opplysninger,granska,innhente opplysninger_DEU,V,WORK_ECONOMY_V
,,tienoilla,tienoilla_ENG,birrasii,omtrent,omtrent_SWE,omtrent_DEU,Adv,DIV_ADV
,,tienpenger,road shoulder,geaidnoguorra,vegkant,vägkant,vegkant_DEU,N,ROAD
,,tietokonepeli,computer game,dihtorspeallu,dataspill,datorspel,dataspill_DEU,N,TOY
,,tietty,tietty_ENG,dihto,viss,viss,viss_DEU,A,ISSUE_A
,,tietysti,tietysti_ENG,dieđusge,selvfølgelig,självklart,selvfølgelig_DEU,Adv,DIV_ADV
,,tiira,tiira_ENG,čearret,rødnebbterne,tärna,rødnebbterne_DEU,N,BIRD
,,tiistai,tuesday,maŋŋebárga,tirsdag,tisdag,tirsdag_DEU,N,TIME_POINT_GEN
,,tikku,tikku_ENG,smáhkku,flis,flisa,flis_DEU,N,YYY
,,tila,state,dilli,tilstand,tillstånd,tilstand_DEU,N,ABSTRACT
,,tili,account,kontu,konto,konto,konto_DEU,N,FINANCE
,,tintti,young salmon,diddi,unglaks,unglax,unglaks_DEU,N,FISH
,,todella,todella_ENG,duođaid,virkelig,värkligen,virkelig_DEU,Adv,CHRISTMAS
,,todistus,todistus_ENG,duođaštus,bevitnelse,bevittnelse,bevitnelse_DEU,N,TEXT
,,toimeentulo,toimeentulo_ENG,áigáiboahtu,utkomme,utkomme_SWE,utkomme_DEU,N,FINANCE
,,toimi,action,doaibma,tiltak,tilltag,tiltak_DEU,N,JOB
,,toimisto,office,kantuvra,kontor,kontor,kontor_DEU,N,CITY
,,toimistoapulainen,toimistoapulainen_ENG,kántorveahkki,kontorassistent,kontorsassistent,kontorassistent_DEU,N,PROFESSION
,,toimistotyö,office work,kántorbargu,kontorarbeid,kontorsarbete,kontorarbeid_DEU,N,JOB
,,toimistotyöntekijä,office worker,kántorbargi,kontorarbeider,kontorsarbetare,kontorarbeider_DEU,N,CITY
,,toimittaa,do,doaimmahit,utføre,uträtta,verrichten,V,WORK_ECONOMY_V
,,toimittaja,journalist,journalista,journalist,journalist,Journalist,N,PROFESSION
,,toinen,second,nubbi,andre,andra,zweiter,A,CHRISTMAS
,,toisinpäin,toisinpäin_ENG,nuppe beliid,motsatt,motsatt_SWE,motsatt_DEU,Mwe,EXPRESSIONS
,,toissa päivänä,toissa päivänä_ENG,ovddit beaivvi,i forgårs,i forgårs_SWE,i forgårs_DEU,Mwe,EXPRESSIONS
,,torkahtaa,fall asleep,nohkastit,ta seg en blund,ta seg en blund_SWE,ta seg en blund_DEU,V,BODY_V
,,torua,hush,šiggut,hysse på,hysse på_SWE,hysse på_DEU,V,VERBAL_V
,,toteuttaa,carry out,čađahit,gjennomføre,genomföra,durchführen,V,ACTION_V
,,totta,true,duohta,sann,sann,sann_DEU,A,ISSUE_A
,,tuijottaa,stare,gaivát,glane,glane_SWE,glane_DEU,V,EXPERIENCE_V
,,tulehtua,become infected,vuolšut,bli betent,bli betent_SWE,bli betent_DEU,V,BODY_V
,,tuleva,tuleva_ENG,boahtte,kommende,kommande,kommende_DEU,A,CHRISTMAS
,,tulevan syksyn,tulevan syksyn_ENG,boahtte čavčča,neste høst,neste høst_SWE,neste høst_DEU,Mwe,EXPRESSIONS
,,tulevana kesänä,tulevana kesänä_ENG,boahtte geasi,neste sommer,neste sommer_SWE,neste sommer_DEU,Mwe,EXPRESSIONS
,,tulevana keväänä,tulevana keväänä_ENG,boahtte giđa,neste vår,neste vår_SWE,neste vår_DEU,Mwe,EXPRESSIONS
,,tulisija,tulisija_ENG,dollagáddi,ved bålet,bålplats,ved bålet_DEU,N,PLACE_LOCAL
,,tulisija,tulisija_ENG,árran,ildsted,eldstad,ildsted_DEU,N,ROOMPART
,,tulistella,have a fire,dolastaddat,ha bål,ha eld,ein Feuer an haben,V,NATURE_V
,,tulistella,make a fire,dolastallat,ha bål,elda,ein Feuer machen,V,mUSETIME
,,tulitikku,match,riššasággi,fyrstikk,tändsticka,fyrstikk_DEU,N,THING
,,tulos,outcome,boađus,resultat,resultat_SWE,resultat_DEU,N,ABSTRACT
,,tumma leipä,dark bread,groavaláibi,grovbrød,grovbröd,grovbrød_DEU,N,FOOD_GROCERY
,,tumma leipä,tumma leipä_ENG,roavvaláibi,grovbrød,grovbröd,grovbrød_DEU,N,FOOD_GROCERY
,,tumma,dark,seavdnjat,mørk,mörk,mørk_DEU,A,CHRISTMAS
,,tummanruskea,tummanruskea_ENG,devkesruškat,lyserød,ljusröd_SWE,lyserød_DEU,A,COLOUR
,,tumppu,tumppu_ENG,fáhcca,vott,vante,vott_DEU,N,CLOTHING_PL
,,tunti,time,diibmu,time,klocka,time_DEU,N,TIME_DUR
,,tunturi,tundra,duottar,vidde,tundra,vidde_DEU,N,NATURE_PLACE
,,tunturimökki,tunturimökki_ENG,duottarstohpu,fjellstue,fjällstuga,fjellstue_DEU,N,BUILDING
,,tunturinselkä,mountain ridge,duottarčielgi,fjellrygg,fjellrygg_SWE,fjellrygg_DEU,N,NATURE_PLACE
,,tuoda,bring,doalvut,bringe,bringa,bringen,V,mMOVE_V
,,tuomari,judge,duopmár,dommer,domare,dommer_DEU,N,PROFESSION
,,tuore,fresh,varas,fersk,färsk,fersk_DEU,A,SOUP_A
,,tupakka,tobaccoo,duhpát,tobakk,tobak,tobakk_DEU,N,mSTIMULANT
,,tupsu,tupsu_ENG,diehppi,dusk,dusk,dusk_DEU,N,CLOTHING_OTHER
,,turhuus,turhuus_ENG,dušši,ingenting,ingenting_SWE,ingenting_DEU,N,ABSTRACT
,,turjansaame,Ter Sami,darjjesámegiella,tersamisk språk,tersamisk språk_SWE,tersamisk språk_DEU,N,LANGUAGE
,,turkkipaita,turkkipaita_ENG,dorka,dork,dork,dork_DEU,N,CLOTHING
,,turska,cod,dorski,torsk,torsk,torsk_DEU,N,FISH
,,turvallinen,safe,oadjebas,trygg,säker,trygg_DEU,A,CHRISTMAS
,,turve,turf,lavdnji,torv,torv_SWE,torv_DEU,N,NATURE
,,tuskailla,tuskailla_ENG,duskidit,skjenne,skjenne_SWE,skjenne_DEU,V,VERBAL_V
,,tutkia,investigate,guorahaddat,undersøke,undersöka,untersuchen,V,WORK_ECONOMY_V
,,tutkia,investigate,guorahallat,undersøke,undersöka,untersuchen,V,WORK_ECONOMY_V
,,tutustua,get acquainted,oahpásmuvvat,bli kjent,bli kjent_SWE,bli kjent_DEU,V,HUM_V
,,tuulenviri,tuulenviri_ENG,hieibma,bris,bris,bris_DEU,N,WEATHER
,,tuulettaa,tuulettaa_ENG,biggohit,lufte,vädra,lufte_DEU,V,LEISURETIME_HOME_V
,,tuulla,blow (weather),bieggat,blåse (om vind),blåsa (om vind),wehen,V,WEATHER_V
,,tuumi,udder,ruoksi,jur,jur_SWE,jur_DEU,N,ANIMAL_OTHER
,,tyhjentyä,empty,guorranit,bli tom,tömmas,sich leeren,V,EXPOSURE_V
,,tylsistyä,be bored,láittastuvvat,vantrives,bli ointresserad,gelangweilt sein,V,EXPERIENCE_V
,,tylsä,boring,láittas,kjedelig,tråkig,kjedelig_DEU,A,ISSUE_A
,,tyylikäs,tyylikäs_ENG,bivššas,bakoverbøyd,bakoverbøyd_SWE,bakoverbøyd_DEU,A,HUM_A
,,tyyni,tyyni_ENG,goalki,vindstille,vindstilla,vindstille_DEU,N,WEATHER
,,tyyntyä,tyyntyä_ENG,golket,bli vindstille,bli vindstilla,bli vindstille_DEU,V,WEATHER_V
,,tyyny,pillow,guoddá,pute,kudde,pute_DEU,N,ROOM_OTHER
,,tyytyväinen,content,duhtavaš,fornøyd,nöjd,fornøyd_DEU,A,CHRISTMAS
,,tyytyväinen,content,duđavaš,fornøyd,nöjd,fornøyd_DEU,A,CHRISTMAS
,,tyytyä,tyytyä_ENG,duhtat,være fornøyd,være fornøyd_SWE,være fornøyd_DEU,V,HUM_V
,,työntää,push,hoigat,skyve,stöta,schubsen,V,ACTION_V
,,työpaikka,workplace,bargosadji,arbeidsplass,arbetsplats,arbeidsplass_DEU,N,JOB
,,työsuunnitelma,työsuunnitelma_ENG,bargoplána,arbeidsplan,arbetsplan,arbeidsplan_DEU,N,SCHOOL
,,työtehtävä,työtehtävä_ENG,bargobihttá,arbeidsoppgave,arbetsuppgift,arbeidsoppgave_DEU,N,TEXT
,,työvaatteet,työvaatteet_ENG,bargobivttas,arbeidstøy,arbetskläder,arbeidstøy_DEU,N,CLOTHING
,,tällä kertaa,tällä kertaa_ENG,dán háve,denne gangen,denne gangen_SWE,denne gangen_DEU,Mwe,EXPRESSIONS
,,tämän päivän,tämän päivän_ENG,otná beaivve,dagen i dag,dagen i dag_SWE,dagen i dag_DEU,Mwe,EXPRESSIONS
,,tämän syksyn,tämän syksyn_ENG,dán čavčča,i høst,i høst_SWE,i høst_DEU,Mwe,EXPRESSIONS
,,tämän viikon,tämän viikon_ENG,dán vahkku,denne uka,denne uka_SWE,denne uka_DEU,Mwe,EXPRESSIONS
,,tänne,tänne_ENG,deike,hit,hit,hit_DEU,Adv,PLACE_ADV
,,tänä keväänä,tänä keväänä_ENG,dán giđa,i vår,i vår_SWE,i vår_DEU,Mwe,EXPRESSIONS
,,tänä vuonna,tänä vuonna_ENG,dán jagi,i år,i år_SWE,i år_DEU,Mwe,EXPRESSIONS
,,tänä yönä,tänä yönä_ENG,dán ija,i natt,i natt_SWE,i natt_DEU,Mwe,EXPRESSIONS
,,tänään,tänään_ENG,odne,i dag,i dag,i dag_DEU,Adv,CHRISTMAS
,,tässä,täällä_ENG,dás,her,här,her_DEU,Adv,PLACE_ADV
,,täynnä,täynnä_ENG,dievva,fullt,fullt_SWE,fullt_DEU,Adv,DIV_ADV
,,täysi,complete,dievas,fullstendig,fullständig,fullstendig_DEU,A,ISSUE_A
,,täyttyä,be filled,dievvat,bli full,bli full,sich füllen,V,EXPOSURE_V
,,täyttyä,become full,gallánit,bli mett,bli mätt,satt werden,V,FOOD_DRINK_V
,,täyttä vauhtia,täyttä vauhtia_ENG,olles fártta,i full fart,i full fart_SWE,i full fart_DEU,Mwe,EXPRESSIONS
,,täytyä,should,galgat,skulle,skola,werden,V,AUX_V
,,täälläasuja,täälläasuja_ENG,dáppeorru,en som bor her,en som bor her_SWE,en som bor her_DEU,N,ACTOR
,,törmä,törmä_ENG,dearbmi,bakke,bakke_SWE,bakke_DEU,N,NATURE_PLACE
,,ulkoeteinen,ulkoeteinen_ENG,olgofeaskkir,yttergang,farstu,yttergang_DEU,N,ROOM
,,ulkomaa,ulkomaa_ENG,olgoriika,utlandet,utlandet,utlandet_DEU,N,PLACE_STAYING
,,ulkona,outside,olgun,ute,ute,ute_DEU,Adv,CHRISTMAS
,,ulkoseinä,outer wall,olgoseaidni,yttervegg,yttervägg,yttervegg_DEU,N,ROOM_OTHER
,,ulkovaatteet,ulkovaatteet_ENG,olgguldasbivttas,yttertøy,ytterplagg,yttertøy_DEU,N,CLOTHING
,,ulottua,reach,ollit,rekke,nå,erreichen,V,ACTION_V
,,uneksia,dream,niegadit,drømme,drömma,träumen,V,EXPERIENCE_V
,,uni,sleep,nagir,søvn,sömn,søvn_DEU,N,FEELING
,,urheiluhalli,urheiluhalli_ENG,valástallanhálla,idrettshall,idrottshall,idrettshall_DEU,N,CITY
,,usein,usein_ENG,dávjá,ofte,ofta,ofte_DEU,Adv,TIME_ADV
,,uskaltautua,dare,duostat,våge,våga,wagen,V,AUX_V
,,usko,faith,osku,tro,tro,tro_DEU,N,THOUGHT
,,uskoa,believe,jáhkkit,tro,tro,glauben,V,EXPERIENCE_V
,,uudenvuodenaatto,New year's eve,ođđabeairuohtta,nyttårsaften,nyårsafton,nyttårsaften_DEU,N,CHRISTMAS
,,uudestaan,again,ođđasit,en gang til,en gang til_SWE,en gang til_DEU,Adv,DIV_ADV
,,uumajansaame,Ume Sami,ubmisámegiella,umesamisk språk,umesamisk språk_SWE,umesamisk språk_DEU,N,LANGUAGE
,,uuni,oven,omman,ovn,ugn,ovn_DEU,N,FURNITURE
,,uuni,oven,uvdna,ovn,ugn,ovn_DEU,N,FURNITURE
,,uunin vieri,uunin vieri_ENG,uvdnagáddi,ved ovnen,ved ovnen_SWE,ved ovnen_DEU,N,PLACE_LOCAL
,,uutiset,news,ságat,nyheter,nyheter,nyheter_DEU,N,TEXT
,,vaadin,vaadin_ENG,áldu,simle,vaja,simle_DEU,N,ANIMAL_DOM
,,vaahto,scum,sokta,skum,skum_SWE,skum_DEU,N,NATURE
,,vaaleahiuksinen,blond,čuvgesvuovttat,lyshåret,ljushårig,lyshåret_DEU,A,BODY_A
,,vaara,mountain,várri,fjell,fjäll,fjell_DEU,N,NATURE_PLACE
,,vaate,vaate_ENG,bivttas,klesplagg,klädesplagg,klesplagg_DEU,N,CLOTHING_OTHER
,,vaatekauppa,vaatekauppa_ENG,bivttasgávpi,klesbutikk,klädesaffär,klesbutikk_DEU,N,SHOP
,,vaatia,demand,gáibidit,kreve,kräva,verlangen,V,HUM_V
,,vahvistaa,confirm,nannet,styrke,styrka,bestätigen,V,ACTION_V
,,vaihdella,change,lonohallat,bytte med hverandre,bytte med hverandre_SWE,bytte med hverandre_DEU,V,HUM_V
,,vaihtaa,change clothes,molssodit,skifte klær,byta,wechseln,V,HUM_V
,,vaihtaa,vaihtaa_ENG,lonuhit,bytte,change,bytte_DEU,V,HUM_V
,,vaikka,vaikka_ENG,vaikko,selv om,även om,selv om_DEU,Adv,DIV_ADV
,,vaille,lack,váili,mangel,mangel_SWE,mangel_DEU,N,ABSTRACT
,,vaille,vaille_ENG,váile,på,på_SWE,på_DEU,Adv,TIME_ADV
,,vaimo,wife,eammi,hustru,fru,Ehefrau,N,FAMILY
,,vaiva,vaiva_ENG,váivi,plage,plåga,plage_DEU,N,FEELING
,,vaivaiskoivu,vaivaiskoivu_ENG,skierri,dvergbjørk,dvergbjørk_SWE,dvergbjørk_DEU,N,PLANT
,,vakiovuoro,vakiovuoro_ENG,fástavuorru,turnus,turnus_SWE,turnus_DEU,N,JOB
,,valas,whale,fális,hval,val,Wal,N,ANIMAL_OTHER
,,vale,lie,gielis,løgn,lögn,løgn_DEU,N,YYY
,,valitella,klage_ENG,váidalit,klage,klaga_SWE,klage_DEU,V,mLAUGH
,,valjastaa,harness,geasástit,sele på,sela på,anschirren,V,ANIMAL_V
,,valjeta,dawn,čuvggodit,lysne,ljusna,dämmern,V,WEATHER_V
,,valkoinen poro,white reindeer,gabba,helt hvit rein,vit ren,helt hvit rein_DEU,N,ANIMAL_DOM
,,valmentaa,prepare,ráhkkanit,forberede,göra sig i ordning,sich vorbereiten,V,ACTION_V
,,valmis,ready,gárvvis,ferdig,färdig,ferdig_DEU,A,CHRISTMAS
,,valo,light,čuovga,lys,ljus,lys_DEU,N,CITY
,,valoisaa,bright,čuovgat,lys,ljus,lys_DEU,A,CHRISTMAS
,,valokuvata,photo,govvet,fotografere,fotografera,fotografieren,V,ACTION_V
,,valssi,valssi_ENG,válsa,vals,vals_SWE,vals_DEU,N,YYY
,,valtion metsä,valtion metsä_ENG,stáhtavuovdi,statens skog,statens skog_SWE,statens skog_DEU,N,NATURE
,,valtionraja,state border,riikkarádji,riksgrense,riksgräns,riksgrense_DEU,N,NATURE
,,valtionraja,state border,riikkarádjá,riksgrense,riksgräns,riksgrense_DEU,N,NATURE
,,valua,wander,golgat,reke,rinna,fließen,V,NATURE_V
,,valvoa,be awake,gohcit,være våken,vaka,wachen,V,EXPERIENCE_V
,,vanhempainkokous,vanhempainkokous_ENG,váhnenčoahkkin,foreldremøte,föräldramöte,foreldremøte_DEU,N,ARRANGEMENT
,,vanhempi,parent,vánhen,forelder,forälder,forelder_DEU,N,FAMILY
,,vapaapäivä,vapaapäivä_ENG,friddjabeaivi,fridag,fridag,fridag_DEU,N,TIME_OTHER
,,varastoida,tidy,rádjat,rydde,ställa i ordning,aufräumen,V,ACTION_V
,,variksenmarja,variksenmarja_ENG,čáhppesmuorji,krøkebær,kråkbär,krøkebær_DEU,N,PLANT
,,varjella,defend,várjalit,forsvare,forsvare_SWE,forsvare_DEU,V,ACTION_V
,,varovasti,varovasti_ENG,várrugasat,forsiktig,forsiktig_SWE,forsiktig_DEU,Adv,DIV_ADV
,,varpu,varpu_ENG,daŋas,lyng,lyng_SWE,lyng_DEU,N,PLANT
,,vasa,reindeer calf,miessi,reinkalv,renkalv,reinkalv_DEU,N,ANIMAL_DOM
,,vasa,vasa_ENG,čearpmat,ett-årig reinkalv,ett-årig renkalv,ett-årig reinkalv_DEU,N,ANIMAL_DOM
,,vatsatauti,vatsatauti_ENG,čoavjedávda,magesyke,magesyke_SWE,magesyke_DEU,N,ILLNESS
,,vave,balk,holga,bjelke,bjelke_SWE,bjelke_DEU,N,ROOMPART
,,vehnäjauhot,wheat flour,nisojáffu,hvetemel,hvetemel_SWE,hvetemel_DEU,N,FOOD_GROCERY
,,vehnäjyvä,vehnäjyvä_ENG,nisogordni,hvetekorn,vetekorn,hvetekorn_DEU,N,PLANT
,,veikkuli,veikkuli_ENG,skealbma,skøyer,skojare,skøyer_DEU,N,ACTOR
,,venevaja,venevaja_ENG,fanasgoahti,båtgamme,båtkåta,båtgamme_DEU,N,BUILDING
,,venevaja,venevaja_ENG,fiervábuvri,fjærbu,sjöbod,fjærbu_DEU,N,BUILDING
,,venevaja,venevaja_ENG,návste,naust,båthus,naust_DEU,N,BUILDING
,,venevaja,venevaja_ENG,návstu,naust,båthus,naust_DEU,N,BUILDING
,,venevaja,venevaja_ENG,skadjá,skjå,skjå_SWE,skjå_DEU,N,BUILDING
,,verho,curtain,lássaliidni,gardin,gardin,gardin_DEU,N,FURNITURE
,,veripaltto,veripaltto_ENG,guhppár,blodklubb,blodpalt,blodklubb_DEU,N,FOOD_DISH
,,veripaltto,veripaltto_ENG,gumppus,blodklubb,blodpalt,blodklubb_DEU,N,FOOD_DISH
,,verka,cloth,láđđi,klede,kläde,klede_DEU,N,HANDICRAFTS
,,verkapuku,verkapuku_ENG,láđđegákti,kledekofte,vadmalskolt,kledekofte_DEU,N,CLOTHING
,,vesihiisi,vesihiisi_ENG,čáhcerávga,draug,näck,draug_DEU,N,MYTH_HUM
,,veto,veto_ENG,jiella,trekk,svagt vinddrag,trekk_DEU,N,WEATHER
,,vetäistä,vetaista_ENG,rohttet,rykke,rykke_SWE,rykke_DEU,V,YYY
,,vetää,draw,geassit,trekke,dra,ziehen,V,ACTION_V
,,viehe,fishing hook,vuogga,fiskekrok,fiskkrok,fiskekrok_DEU,N,TOOL
,,vielä,vielä_ENG,ain,ennå,ännu,ennå_DEU,Adv,CHRISTMAS
,,vielä,vielä_ENG,vel,enda,ännu,enda_DEU,Adv,TIME_ADV
,,vielä,vielä_ENG,velá,fremdeles,fremdeles_SWE,fremdeles_DEU,Adv,TIME_ADV
,,vielä,vielä_ENG,vuos,først,först,først_DEU,Adv,CHRISTMAS
,,vierailla,vierailla_ENG,gallestallat,besøke,besøke_SWE,besøke_DEU,V,ACTION_V
,,vieras,foreign,vieris,fremmed,främmande,fremmed_DEU,A,CITY
,,vieras,strange,amas,fremmed,främmande,fremmed_DEU,A,CITY
,,vihamielinen,hostile,vašálaš,fiendtlig,fientlig,fiendtlig_DEU,A,HUM_A
,,vihertyä,become green,runiidit,bli grønn,grönska,ergrünen,V,WEATHER_V
,,vihjata,hint at,geahkat,ymte om,antyda,hinweisen auf,V,exclude_smenob
,,vihkiminen,vihkiminen_ENG,vihaheapmi,innvielse,innvielse_SWE,innvielse_DEU,N,ARRANGEMENT
,,viidakko,jungle,juŋgel,jungel,jungel_SWE,jungel_DEU,N,NATURE
,,viides,fifth,viđát,femte,femte,fünfter,A,mORD
,,viidestoista,fifteenth,vihttanuppelogát,femtende,femtonde,fünfzehnter,A,mORD
,,viihtyä,viihtyä_ENG,loaktit,trives,trivas,trives_DEU,V,EXPERIENCE_V
,,viikkoittain,viikkoittain_ENG,vahkkosaččat,ukentlig,i veckan,ukentlig_DEU,Adv,TIME_ADV
,,viikkolehti,weekly magazine,vahkkobláđđi,ukeblad,veckotidning,ukeblad_DEU,N,TEXT
,,viila,viila_ENG,fiilu,fil,fil_SWE,fil_DEU,N,TOOL
,,viima,viima_ENG,riđđu,kuling,kuling_SWE,kuling_DEU,N,WEATHER
,,viime kerta,viime kerta_ENG,ovddit háve,forrige gang,forrige gang_SWE,forrige gang_DEU,Mwe,EXPRESSIONS
,,viime kesänä,viime kesänä_ENG,diimmá geasi,i fjor sommer,i fjor sommer_SWE,i fjor sommer_DEU,Mwe,EXPRESSIONS
,,viime kesänä,viime kesänä_ENG,mannan giđa,i fjor vår,i fjor vår_SWE,i fjor vår_DEU,Mwe,EXPRESSIONS
